tweet_id;date;complaint_label;tweet_text;usr_followers_count;usr_verified
476878399353266176;2014-06-12T00:07:25Z;Non-Complaint;1. Haneda. 2. I'll go to a corner st in Tokyo and do a selfie, upload it on Twitter with the hashtag #KantoTokyo @flyPAL #PALfliesHaneda;152;FALSE
476879680726110208;2014-06-12T00:12:30Z;Non-Complaint;My plane to Germany! Holy crap. Can't wait for 16 days of theme parks. @SingaporeAir http://t.co/R2yJ7kQ1hy;184;FALSE
476880040479969280;2014-06-12T00:13:56Z;Complaint;So apparently @USAirways changes departing gates on flights in Philly without any type of notification #unsatisfiedcustomer;136;FALSE
476880597705428992;2014-06-12T00:16:09Z;Non-Complaint;Je supporte le #Canada dès 549€ à la battle @AirfranceFR #JeuAF http://t.co/QSFN0JWni7;1;FALSE
476880967605317632;2014-06-12T00:17:37Z;Non-Complaint;Dear @CebuPacificAir, thanks for the early ChristmasGift. Yesterday, we were able to book an international flight thru your PISO fare promo.;67;FALSE
476881268505055232;2014-06-12T00:18:49Z;Complaint;"Boo @Delta just cancelled the flight that they had already rescheduled. Now my itinerary is all weird online &amp; lost my upgrade position. :(";138;FALSE
476883252334977024;2014-06-12T00:26:42Z;Non-Complaint;"#PALFliesHaneda @flyPAL @RX931 Haneda; UenoPark &amp; see Sakura den make mtv while singing Sakura..Sakuraa..Sakuraaa..🌸🎶😁 @chicogarcia version😜";21;FALSE
476884370570375168;2014-06-12T00:31:08Z;Complaint;@JetBlue you need to get your act together and get way nicer staff in the cancun airport were on an over 7 hr delay and they are awful 👎👎👎;133;FALSE
476885456110370816;2014-06-12T00:35:27Z;Non-Complaint;Celebrating @SouthwestAir's Gary Kelly at the #aimeawards http://t.co/rz4mgHYG3Q;607;FALSE
476888310032637952;2014-06-12T00:46:47Z;Non-Complaint;Don't do this to me, @Delta. Don't you dare.;165;FALSE
476888870009585664;2014-06-12T00:49:01Z;Non-Complaint;¡Es el momento de descubrir Chile y Argentina!  ¡@LANAirlinesSP ofrece un 20% de descuento en sus vuelos internos! http://t.co/H9CFYHQzRU;89;FALSE
476888939689566208;2014-06-12T00:49:18Z;Complaint;@TheRealKerstin gave up on @USAirways after 2:48 hours on hold;221;FALSE
476890257070489600;2014-06-12T00:54:32Z;Complaint;@AmericanAir worst customer service in JAX airport today. Flight delayed 10x and only 2 staff to help stranded passengers. Whole day wasted!;10;FALSE
476891280874561536;2014-06-12T00:58:36Z;Complaint;I strongly advise avoiding @united for your flights.  What a pathetic excuse of a company;158;FALSE
476893813990891520;2014-06-12T01:08:40Z;Complaint;@donclifford do not anymore fly with @flyPAL. They have the worst service, delayed and over booked flights.;55;FALSE
476896243918966784;2014-06-12T01:18:19Z;Non-Complaint;@Saudi_Airlines على زق;844;FALSE
